Run,Optimal Cost,N-Body Cost,N-Body Error,NN Run 1 Cost,NN Run 1 Error,NN Run 2 Cost,NN Run 2 Error,NN Run 3 Cost,NN Run 3 Error,NN Run 4 Cost,NN Run 4 Error,NN Run 5 Cost,NN Run 5 Error,NN Run 6 Cost,NN Run 6 Error,NN Run 7 Cost,NN Run 7 Error,NN Run 8 Cost,NN Run 8 Error,NN Run 9 Cost,NN Run 9 Error,NN Run 10 Cost,NN Run 10 Error
1,3.4389,3.8132,10.8837,3.4389,0.0000,4.0206,16.9160,3.8540,12.0723,3.8242,11.2036,3.4389,0.0000,3.5943,4.5186,3.7709,9.6560,3.7815,9.9642,4.1473,20.6015,4.1085,19.4724
2,1.8993,2.0603,8.4724,2.0526,8.0670,1.8993,0.0000,1.8993,0.0000,1.9198,1.0786,1.8993,0.0000,2.1173,11.4770,1.8993,0.0000,1.9584,3.1071,2.0679,8.8747,2.0603,8.4724
3,2.7202,2.7951,2.7555,2.8836,6.0086,2.7348,0.5371,2.8649,5.3198,3.3792,24.2299,2.9019,6.6827,3.2757,20.4227,2.7348,0.5371,2.8760,5.7301,3.2052,17.8309,3.0971,13.8567
4,2.6839,2.7900,3.9542,3.7428,39.4546,2.8704,6.9492,2.9243,8.9579,3.1656,17.9487,3.1399,16.9920,3.1092,15.8489,3.3124,23.4180,3.0452,13.4630,2.8704,6.9492,3.0664,14.2523
5,3.5611,3.5611,0.0000,3.9585,11.1591,3.9651,11.3446,4.1489,16.5057,4.1162,15.5897,4.4695,25.5087,4.3781,22.9432,3.6988,3.8686,3.9651,11.3446,4.2919,20.5240,3.9651,11.3446
6,2.5204,2.5696,1.9527,2.7248,8.1098,2.5696,1.9527,2.9433,16.7815,2.7018,7.1970,2.5696,1.9527,2.9258,16.0871,2.8368,12.5534,3.3738,33.8586,3.1707,25.8011,3.0293,20.1915
7,2.8488,2.9628,3.9992,3.1533,10.6876,3.2947,15.6522,3.1533,10.6876,3.1533,10.6876,2.9702,4.2607,3.5172,23.4604,2.9702,4.2607,2.9702,4.2607,3.3441,17.3849,3.1533,10.6876
8,3.0431,3.0431,0.0000,3.0431,0.0000,3.0431,0.0000,3.3339,9.5556,3.3339,9.5556,3.0431,0.0000,3.4329,12.8080,3.0431,0.0000,3.3339,9.5556,3.0431,0.0000,3.0431,0.0000
9,3.0500,3.4857,14.2875,3.0745,0.8039,3.1198,2.2891,3.0745,0.8039,3.2151,5.4140,3.2755,7.3942,3.2802,7.5506,3.2151,5.4140,3.1198,2.2891,3.3464,9.7194,3.0974,1.5556
10,3.0707,3.0707,0.0000,3.2635,6.2793,3.5041,14.1143,3.0707,0.0000,3.3967,10.6174,3.0707,0.0000,3.5041,14.1143,3.0707,0.0000,3.0707,-0.0000,3.0707,0.0000,3.5041,14.1143
11,3.2028,3.2440,1.2886,3.3964,6.0460,3.4511,7.7529,3.4097,6.4613,3.4097,6.4613,3.3964,6.0460,3.3964,6.0460,3.3964,6.0460,3.6938,15.3334,3.3551,4.7574,3.5224,9.9802
12,3.1870,3.1870,0.0000,4.3480,36.4322,3.5899,12.6422,3.2258,1.2173,3.1870,0.0000,3.1870,0.0000,4.2940,34.7376,3.3855,6.2305,3.1870,0.0000,3.2258,1.2173,3.1870,0.0000
13,3.4607,3.9014,12.7364,3.5849,3.5904,3.5802,3.4530,3.7274,7.7065,3.8167,10.2865,3.5802,3.4530,3.5965,3.9236,3.5965,3.9233,3.6962,6.8066,3.6402,5.1865,3.8462,11.1414
14,3.1328,3.2504,3.7548,3.1329,0.0039,3.5634,13.7438,3.5634,13.7438,3.6190,15.5180,3.1329,0.0039,3.6412,16.2270,3.7190,18.7121,3.5404,13.0105,3.6827,17.5542,3.5405,13.0143
15,2.8609,2.9262,2.2821,3.3292,16.3693,3.1946,11.6620,3.4554,20.7791,3.3579,17.3727,3.2273,12.8051,3.3859,18.3516,3.3579,17.3727,3.6834,28.7492,3.4165,19.4199,3.5757,24.9837
16,2.8447,2.9573,3.9582,3.5172,23.6390,3.0251,6.3424,3.0522,7.2939,2.9102,2.3027,3.0251,6.3424,3.6006,26.5731,3.3771,18.7139,3.5508,24.8226,3.6476,28.2257,3.6989,30.0286
17,2.3849,2.3849,0.0000,2.4044,0.8202,2.7674,16.0410,2.4051,0.8497,2.7755,16.3770,2.3849,0.0000,2.6790,12.3337,2.4044,0.8202,2.4051,0.8497,2.5483,6.8541,2.4051,0.8497
18,3.3498,3.8711,15.5625,3.3498,0.0000,3.3498,0.0000,3.8361,14.5155,3.5959,7.3447,3.6027,7.5496,3.6257,8.2362,4.4533,32.9425,4.3249,29.1095,4.1020,22.4538,3.8026,13.5157
19,3.0312,3.0524,0.6995,3.0524,0.6995,3.0746,1.4293,3.3055,9.0477,3.0432,0.3953,3.0524,0.6995,3.0524,0.6995,3.3940,11.9663,3.0524,0.6995,3.3940,11.9663,3.1118,2.6585
20,2.6631,2.6631,0.0000,2.9765,11.7692,2.7090,1.7219,2.8803,8.1557,3.0474,14.4303,2.8598,7.3851,2.9084,9.2112,2.8598,7.3851,3.0545,14.6946,2.9084,9.2112,3.0650,15.0897
21,3.0263,3.0263,0.0000,3.1226,3.1817,3.1274,3.3380,3.3756,11.5399,3.1659,4.6128,3.0952,2.2751,3.0263,0.0000,3.0784,1.7197,3.0952,2.2751,3.1274,3.3380,3.0263,0.0000
22,3.2452,3.3449,3.0730,3.3449,3.0730,4.1676,28.4222,3.5783,10.2626,3.3423,2.9924,3.3423,2.9924,3.5783,10.2626,3.8307,18.0408,3.3449,3.0730,3.7409,15.2737,3.3449,3.0730
23,2.9543,2.9543,0.0000,2.9543,0.0000,3.1929,8.0768,3.7174,25.8327,3.1929,8.0768,3.6011,21.8942,3.1580,6.8955,2.9543,0.0000,2.9543,0.0000,3.1929,8.0768,3.4399,16.4379
24,3.0727,3.4209,11.3328,3.0727,0.0000,3.2064,4.3518,3.3021,7.4678,3.5621,15.9304,3.0727,0.0000,3.3702,9.6837,3.3702,9.6837,3.2922,7.1439,3.2748,6.5783,3.1942,3.9551
25,2.8629,2.8629,-0.0000,3.2311,12.8600,2.9936,4.5653,3.6748,28.3606,2.8653,0.0828,2.9936,4.5653,3.5566,24.2310,2.9960,4.6481,2.8653,0.0828,3.5486,23.9527,3.6004,25.7603
26,2.2505,2.2505,0.0000,2.4721,9.8502,2.4721,9.8502,2.2866,1.6052,2.2866,1.6052,2.4485,8.8016,2.2866,1.6052,2.4533,9.0124,2.4360,8.2451,2.4721,9.8502,2.4360,8.2451
27,2.8896,2.9482,2.0272,3.2524,12.5554,3.2571,12.7206,3.1524,9.0954,3.3606,16.3009,3.2533,12.5867,3.0088,4.1248,3.0556,5.7451,3.2571,12.7206,3.1524,9.0954,2.9786,3.0795
28,2.8759,2.8759,0.0000,3.1877,10.8422,3.0068,4.5524,3.0068,4.5524,3.1844,10.7260,3.2509,13.0393,3.0613,6.4465,3.1267,8.7200,3.1267,8.7200,2.8759,0.0000,3.2636,13.4794
29,3.1538,3.3024,4.7132,3.3832,7.2742,3.4343,8.8951,3.2044,1.6032,3.3220,5.3337,3.4343,8.8951,3.4422,9.1447,3.3220,5.3337,3.4103,8.1341,3.3565,6.4269,3.3245,5.4140
30,2.7275,2.8207,3.4160,2.8698,5.2171,2.7275,0.0000,2.7275,0.0000,2.9723,8.9746,2.7275,0.0000,2.7375,0.3642,2.8698,5.2171,2.7960,2.5089,2.8072,2.9217,2.9159,6.9045
31,2.9069,3.3249,14.3788,3.1055,6.8299,3.1549,8.5297,3.6704,26.2640,3.7237,28.0966,3.1055,6.8299,3.0038,3.3347,3.0038,3.3347,3.1055,6.8299,3.0853,6.1350,3.2288,11.0725
32,3.1990,3.1990,0.0000,3.5274,10.2663,3.5274,10.2663,3.2020,0.0943,3.5274,10.2663,3.5304,10.3606,4.3604,36.3072,3.5304,10.3606,3.5304,10.3606,3.8278,19.6587,3.6512,14.1375
33,3.0050,3.2823,9.2277,3.1547,4.9795,3.0050,0.0000,3.0050,0.0000,3.0050,0.0000,3.6443,21.2738,3.0050,0.0000,3.5762,19.0069,3.3847,12.6338,3.2032,6.5937,3.0945,2.9762
34,3.0340,3.4854,14.8796,3.6970,21.8533,3.6298,19.6378,3.5913,18.3677,3.0340,0.0000,3.2697,7.7683,3.4477,13.6341,3.3925,11.8150,3.0340,0.0000,4.0825,34.5596,3.5769,17.8924
35,2.6942,2.6942,-0.0000,2.6942,-0.0000,3.4589,28.3800,3.3649,24.8906,2.8734,6.6503,3.6843,36.7482,3.2205,19.5326,3.7748,40.1079,2.6942,0.0000,2.6942,0.0000,3.2688,21.3242
36,2.7653,2.8871,4.4034,2.7766,0.4068,2.7766,0.4068,3.2579,17.8121,3.1994,15.6987,3.2107,16.1054,2.9564,6.9117,3.2785,18.5580,2.9564,6.9117,3.1994,15.6987,3.0547,10.4635
37,3.0918,3.3614,8.7199,3.1273,1.1495,3.1273,1.1495,3.3162,7.2585,3.3162,7.2585,3.3162,7.2585,3.3162,7.2585,3.3419,8.0918,3.3419,8.0918,3.1924,3.2549,3.1924,3.2549
38,2.7146,2.7146,0.0000,2.9023,6.9118,2.7677,1.9531,2.9897,10.1340,2.9941,10.2955,2.9802,9.7833,2.7677,1.9531,2.7677,1.9531,2.8438,4.7594,2.8438,4.7594,2.9941,10.2955
39,2.5201,2.8330,12.4146,2.7852,10.5157,2.7852,10.5157,2.7980,11.0245,2.8495,13.0676,2.8339,12.4479,2.6425,4.8565,2.6425,4.8565,2.8975,14.9744,2.7882,10.6348,2.8342,12.4629
40,2.1293,2.1889,2.7986,2.1293,0.0000,2.2606,6.1674,2.1293,0.0000,2.1293,0.0000,2.1293,0.0000,2.4327,14.2489,2.4439,14.7739,2.3228,9.0865,2.3228,9.0865,2.1399,0.4952
41,2.9852,2.9852,0.0000,2.9945,0.3134,3.7040,24.0818,3.0354,1.6843,2.9945,0.3134,3.8486,28.9248,3.5556,19.1082,3.6291,21.5714,3.5843,20.0722,3.1639,5.9890,3.1113,4.2258
42,2.5224,2.5224,0.0000,2.6402,4.6714,2.5301,0.3033,2.6149,3.6679,2.5301,0.3033,2.6497,5.0465,3.1034,23.0349,2.5301,0.3033,2.5590,1.4522,2.6149,3.6679,2.7373,8.5208
43,2.9031,2.9031,0.0000,3.7174,28.0506,3.6266,24.9245,3.1224,7.5548,3.1581,8.7835,3.1224,7.5548,3.1581,8.7835,3.1224,7.5548,3.6393,25.3610,3.1224,7.5548,3.2393,11.5834
44,2.7246,2.7246,0.0000,3.3131,21.5996,3.5497,30.2853,3.1273,14.7793,3.6120,32.5721,2.9073,6.7054,3.1528,15.7155,2.9701,9.0100,3.1528,15.7155,3.3131,21.5996,3.4306,25.9136
45,3.1168,3.1168,0.0000,3.2574,4.5105,3.9848,27.8493,3.7184,19.3040,4.1264,32.3924,3.2574,4.5105,3.6057,15.6861,4.0073,28.5729,3.7187,19.3134,3.7184,19.3040,3.2574,4.5105
46,2.7143,2.7143,0.0000,3.5241,29.8355,3.2023,17.9787,3.3357,22.8919,3.0154,11.0934,3.1413,15.7313,3.1343,15.4712,3.0851,13.6598,3.0154,11.0934,2.9953,10.3514,3.3692,24.1281
47,2.8190,3.0533,8.3105,2.8896,2.5029,3.0745,9.0635,3.3774,19.8060,3.0347,7.6491,3.0347,7.6491,3.1446,11.5500,3.1225,10.7634,3.0355,7.6772,3.0745,9.0635,3.2527,15.3846
48,2.9101,2.9146,0.1527,2.9731,2.1647,3.4123,17.2548,3.1819,9.3395,3.0697,5.4827,3.3478,15.0403,3.2179,10.5759,3.2179,10.5759,3.2179,10.5759,3.1989,9.9232,3.3218,14.1450
49,2.8340,2.8931,2.0834,3.6244,27.8870,3.3520,18.2774,3.1501,11.1513,3.1501,11.1513,3.3673,18.8163,3.2807,15.7623,3.3404,17.8666,3.2807,15.7623,3.4934,23.2663,2.9794,5.1275
