Run,Optimal Cost,N-Body Cost,N-Body Error,NN Run 1 Cost,NN Run 1 Error,NN Run 2 Cost,NN Run 2 Error,NN Run 3 Cost,NN Run 3 Error,NN Run 4 Cost,NN Run 4 Error,NN Run 5 Cost,NN Run 5 Error,NN Run 6 Cost,NN Run 6 Error,NN Run 7 Cost,NN Run 7 Error,NN Run 8 Cost,NN Run 8 Error,NN Run 9 Cost,NN Run 9 Error,NN Run 10 Cost,NN Run 10 Error,NN Run 11 Cost,NN Run 11 Error
1,3.5468,4.0275,13.5556,4.1285,16.4015,3.5468,0.0000,3.7021,4.3812,4.0240,13.4554,4.1977,18.3542,4.1837,17.9581,4.1943,18.2570,3.5468,0.0000,4.2552,19.9749,4.2164,18.8802,3.9619,11.7052
2,2.6945,2.9755,10.4291,3.0582,13.4977,3.4101,26.5558,3.4208,26.9526,2.6945,0.0000,3.2301,19.8762,3.0780,14.2319,2.6945,-0.0000,3.4003,26.1923,2.7478,1.9784,3.2371,20.1351,3.2313,19.9199
3,2.7274,2.8023,2.7482,2.8721,5.3057,3.3865,24.1659,2.9091,6.6651,2.7733,1.6847,2.8908,5.9927,3.3436,22.5958,2.7420,0.5357,2.8832,5.7150,3.2124,17.7838,2.7420,0.5357,3.1043,13.8201
4,2.7875,2.9138,4.5325,2.9942,7.4161,3.8666,38.7132,3.7591,34.8549,3.2698,17.3046,3.6638,31.4388,3.6332,30.3383,3.4362,23.2728,3.6666,31.5394,2.9942,7.4161,3.0343,8.8530,3.4737,24.6189
5,3.5621,3.5621,-0.0000,4.1173,15.5852,3.6999,3.8674,3.9595,11.1559,3.9154,9.9198,3.6999,3.8674,3.9661,11.3413,3.6999,3.8674,4.5655,28.1687,3.9661,11.3413,3.8577,8.2977,3.9661,11.3413
6,2.5385,2.5877,1.9388,2.7041,6.5234,2.5719,1.3166,3.3655,32.5803,2.5532,0.5806,2.8391,11.8417,3.3774,33.0483,2.5719,1.3166,2.7819,9.5886,2.7271,7.4298,3.3669,32.6332,2.6405,4.0190
7,3.0082,3.5585,18.2943,3.3554,11.5411,3.0878,2.6455,3.4123,13.4335,3.6783,22.2761,3.2709,8.7319,3.0878,2.6455,3.0878,2.6455,3.5521,18.0817,3.2709,8.7319,3.2709,8.7319,3.2709,8.7319
8,3.2342,3.2342,0.0000,3.4479,6.6088,3.4479,6.6088,3.2342,0.0000,3.5469,9.6691,3.8959,20.4621,3.4479,6.6088,3.3683,4.1473,3.2342,0.0000,3.3683,4.1473,3.2342,0.0000,3.2342,0.0000
9,3.3195,3.4551,4.0842,3.5902,8.1550,3.7223,12.1333,3.5666,7.4428,3.6365,9.5497,3.5902,8.1550,3.6619,10.3139,3.5666,7.4428,3.7154,11.9254,3.3195,0.0000,3.3195,0.0000,3.3742,1.6461
10,3.0991,3.2119,3.6389,3.0991,0.0000,3.0991,0.0000,3.2119,3.6389,4.0953,32.1452,3.0991,0.0000,3.0991,-0.0000,3.0991,0.0000,3.0991,0.0000,4.4442,43.4017,3.0991,0.0000,3.2919,6.2217
11,3.2147,3.2560,1.2838,3.4216,6.4373,3.5451,10.2775,3.4216,6.4373,3.4904,8.5769,3.4904,8.5769,3.4904,8.5769,3.7058,15.2764,3.5108,9.2098,3.4629,7.7211,3.5343,9.9431,3.4904,8.5769
12,3.1870,3.1870,0.0000,3.2267,1.2470,3.1870,0.0000,3.3101,3.8641,3.1870,0.0000,3.5899,12.6420,3.8208,19.8858,3.5899,12.6420,3.1870,0.0000,3.1870,0.0000,3.3101,3.8641,3.1870,0.0000
13,3.5536,4.2555,19.7526,3.8203,7.5051,3.9096,10.0176,3.6731,3.3628,3.6731,3.3628,3.6894,3.8210,3.6778,3.4965,3.6893,3.8208,3.9571,11.3543,3.8636,8.7247,3.7331,5.0509,3.9391,10.8501
14,3.2512,3.2513,0.0037,3.2513,0.0037,3.7595,15.6362,3.7373,14.9530,3.8374,18.0308,3.8838,19.4570,3.6588,12.5368,3.2513,0.0037,3.8011,16.9151,3.6817,13.2434,3.6589,12.5405,3.6817,13.2434
15,2.8971,2.9288,1.0958,3.4574,19.3398,3.2513,12.2270,3.2292,11.4653,3.6149,24.7776,3.3127,14.3464,3.2513,12.2270,3.2355,11.6817,3.6854,27.2106,3.3307,14.9666,3.4185,17.9977,3.5776,23.4920
16,2.9135,3.0261,3.8647,3.0940,6.1925,3.1210,7.1216,2.9791,2.2483,3.3302,14.3019,3.0940,6.1925,3.6695,25.9452,3.4459,18.2717,3.6197,24.2361,3.0940,6.1925,3.5860,23.0805,3.1411,7.8089
17,2.3863,2.3863,0.0000,2.7938,17.0748,2.4032,0.7076,2.6999,13.1434,2.4235,1.5568,2.4059,0.8197,2.4235,1.5568,2.4228,1.5273,2.5498,6.8500,2.7857,16.7391,2.4235,1.5568,2.4059,0.8197
18,3.3714,3.4819,3.2772,3.8581,14.4345,3.6087,7.0388,4.3721,29.6814,3.6156,7.2424,3.3718,0.0119,3.6473,8.1835,4.4749,32.7316,4.3469,28.9351,4.1236,22.3101,3.8246,13.4411,3.3718,0.0119
19,3.0432,3.0644,0.6968,3.0644,0.6968,3.0866,1.4237,3.3175,9.0120,3.0552,0.3937,3.0644,0.6968,3.0644,0.6968,3.0644,0.6968,3.9536,29.9134,3.0552,0.3937,3.3119,8.8274,3.1238,2.6480
20,2.9428,2.9545,0.3982,3.1600,7.3805,3.3271,13.0588,3.5780,21.5854,3.6142,22.8140,3.6725,24.7961,2.9887,1.5582,3.1399,6.6989,3.1395,6.6832,3.3447,13.6556,3.5627,21.0650,3.1600,7.3805
21,3.1750,3.2246,1.5634,3.3830,6.5517,3.5241,10.9961,3.3934,6.8798,3.2643,2.8147,3.2935,3.7320,3.3209,4.5961,3.2246,1.5634,3.2766,3.2025,3.3624,5.9029,3.3830,6.5517,3.2246,1.5634
22,3.3431,3.4002,1.7095,3.3431,0.0000,3.7422,11.9395,3.5231,5.3837,3.3431,0.0000,3.3579,0.4425,3.7422,11.9395,4.1805,25.0496,3.9947,19.4900,3.3579,0.4425,3.7538,12.2859,3.3579,0.4425
23,2.9622,2.9622,0.0000,3.2008,8.0553,2.9622,0.0000,3.2008,8.0553,3.7253,25.7638,3.2008,8.0553,3.6090,21.8358,3.1659,6.8772,2.9622,0.0000,2.9622,0.0000,3.3187,12.0373,3.4907,17.8431
24,3.1225,3.2230,3.2177,3.3375,6.8848,3.3375,6.8848,3.2238,3.2438,3.3196,6.3100,3.2238,3.2438,3.3375,6.8848,3.2238,3.2438,3.4054,9.0574,3.2418,3.8187,3.3375,6.8848,3.4149,9.3622
25,2.8871,2.8896,0.0855,2.9200,1.1362,2.9200,1.1362,3.0766,6.5624,2.9200,1.1362,3.0507,5.6632,2.9337,1.6110,2.9200,1.1362,2.9200,1.1362,3.0644,6.1380,2.9200,1.1362,3.4198,18.4479
26,2.2987,2.2987,0.0000,2.3348,1.5715,2.9919,30.1594,2.6787,16.5324,2.9759,29.4623,2.6690,16.1098,2.9907,30.1050,2.4360,5.9749,2.4721,7.5464,2.4721,7.5464,2.4721,7.5464,2.4360,5.9749
27,2.9570,2.9614,0.1499,2.9684,0.3865,3.1573,6.7732,3.4466,16.5585,2.9646,0.2556,3.2004,8.2309,3.0689,3.7830,2.9684,0.3865,3.1573,6.7732,2.9878,1.0405,3.6656,23.9626,3.0310,2.5036
28,2.9760,3.0487,2.4416,3.2845,10.3652,3.1069,4.3993,3.3510,12.6007,3.2878,10.4776,3.1614,6.2296,3.2268,8.4267,3.2161,8.0680,3.2268,8.4267,3.1069,4.3993,2.9760,0.0000,3.3637,13.0260
29,3.1777,3.4655,9.0573,3.3365,4.9974,3.3339,4.9177,3.4462,8.4524,3.4541,8.7001,3.3339,4.9177,3.3951,6.8437,3.4798,9.5094,3.4222,7.6971,3.8569,21.3755,3.3365,4.9974,3.4462,8.4524
30,3.0457,3.2329,6.1470,3.0672,0.7046,3.0672,0.7046,3.3120,8.7416,3.0672,0.7046,3.2095,5.3767,3.0771,1.0307,3.3178,8.9329,3.3178,8.9329,3.1356,2.9514,3.1469,3.3210,3.2555,6.8878
31,2.9870,3.0195,1.0877,3.2350,8.3009,3.3313,11.5272,3.8038,27.3431,3.1856,6.6468,3.0195,1.0877,3.8963,30.4400,3.0195,1.0877,3.1856,6.6468,3.1009,3.8130,3.3089,10.7756,3.1856,6.6468
32,3.3623,3.3623,0.0000,3.6907,9.7677,4.5696,35.9078,3.7547,11.6730,3.6907,9.7677,3.6907,9.7677,3.8781,15.3420,4.0031,19.0603,3.6937,9.8574,3.9333,16.9853,4.1468,23.3339,4.4197,31.4511
33,3.1935,3.6639,14.7298,3.1935,0.0000,3.1935,0.0000,3.1935,0.0000,3.1935,0.0000,3.1935,-0.0000,3.8328,20.0182,3.1935,0.0000,3.7647,17.8851,3.1935,0.0000,3.3917,6.2045,3.2830,2.8005
34,3.0408,3.1729,4.3462,3.0408,0.0000,3.2842,8.0076,3.0408,0.0000,3.2187,5.8528,3.6019,18.4527,3.2842,8.0076,3.0408,0.0000,4.0521,33.2602,3.4878,14.7022,3.3297,9.5030,3.6248,19.2083
35,2.6946,2.6946,0.0000,3.3652,24.8863,2.8737,6.6484,3.8150,41.5807,2.8737,6.6484,2.6946,0.0000,3.2208,19.5290,2.8737,6.6484,2.6946,0.0000,2.6946,0.0000,2.6946,0.0000,3.2691,21.3205
36,2.7796,2.9014,4.3808,2.7909,0.4047,2.8913,4.0178,2.7909,0.4047,2.7909,0.4047,2.7796,0.0000,2.7909,0.4047,2.9707,6.8762,2.9707,6.8762,2.9707,6.8762,2.7796,-0.0000,2.7909,0.4047
37,3.1081,3.1457,1.2086,3.1457,1.2086,3.3345,7.2854,3.3345,7.2854,3.1436,1.1434,3.3345,7.2854,3.3345,7.2854,3.1436,1.1434,3.3603,8.1144,3.3603,8.1144,3.2108,3.3029,3.2108,3.3029
38,3.2820,3.4927,6.4171,4.1138,25.3435,4.2755,30.2678,4.0798,24.3052,3.2820,0.0000,3.2820,0.0000,4.1155,25.3947,4.1559,26.6264,3.7227,13.4265,3.6089,9.9583,4.5228,37.8039,4.4496,35.5743
39,2.6776,2.8148,5.1217,2.9207,9.0774,2.9359,9.6457,2.9359,9.6457,3.0390,13.4944,3.0002,12.0476,3.0746,14.8258,2.8861,7.7861,2.8861,7.7861,3.1383,17.2037,3.0289,13.1194,3.0750,14.8399
40,2.9191,2.9191,0.0000,3.3483,14.7063,3.3384,14.3657,3.3064,13.2691,3.3299,14.0738,3.1949,9.4505,3.8605,32.2510,3.2660,11.8841,3.3483,14.7063,3.2730,12.1269,3.2660,11.8841,3.3483,14.7061
41,3.0410,3.0504,0.3077,3.8177,25.5398,3.3344,9.6482,3.0913,1.6534,3.0504,0.3077,3.0913,1.6534,4.1188,35.4416,3.9319,29.2946,4.0054,31.7124,3.9607,30.2408,3.5403,16.4163,3.4876,14.6856
42,2.6210,2.6210,0.0000,2.7773,5.9632,2.6210,0.0000,2.7773,5.9632,2.7631,5.4198,2.6210,0.0000,2.7407,4.5647,2.6210,-0.0000,2.6210,0.0000,2.6210,-0.0000,2.7729,5.7929,2.6210,0.0000
43,2.9625,2.9626,0.0039,3.0426,2.7011,3.7122,25.3039,3.2175,8.6072,3.3114,11.7746,3.2175,8.6072,3.6174,22.1061,3.0427,2.7050,3.0427,2.7050,3.8028,28.3621,3.2988,11.3509,3.1321,5.7224
44,3.3004,3.3004,0.0000,4.2343,28.2948,3.9782,20.5347,4.0776,23.5489,3.6396,10.2765,3.4569,4.7410,4.0364,22.2982,3.6396,10.2765,3.5760,8.3509,4.0364,22.2982,3.9932,20.9899,4.1539,25.8595
45,3.1621,3.1621,0.0000,3.8665,22.2732,4.0301,27.4499,3.7638,19.0271,4.1849,32.3451,3.3159,4.8632,3.6510,15.4611,3.3159,4.8632,4.0659,28.5804,4.0854,29.1962,3.7638,19.0271,3.3159,4.8632
46,2.8701,3.1328,9.1523,3.7681,31.2848,3.0350,5.7448,3.4820,21.3190,3.1864,11.0182,3.1632,10.2103,3.5625,24.1218,3.0438,6.0520,3.1234,8.8244,3.0350,5.7448,3.0544,6.4202,3.5251,22.8181
47,2.8931,2.9759,2.8618,3.1486,8.8314,3.1087,7.4532,3.1087,7.4532,2.9637,2.4388,3.2187,11.2543,3.1486,8.8314,3.1486,8.8314,3.1965,10.4878,3.1095,7.4806,3.2641,12.8243,3.3268,14.9907
48,3.3897,3.4597,2.0670,3.5087,3.5122,3.8865,14.6581,3.8513,13.6190,3.7566,10.8253,3.4527,1.8584,3.6210,6.8234,3.7566,10.8253,3.9665,17.0174,3.7566,10.8253,3.7376,10.2649,3.8605,13.8895
50,2.7810,2.8907,3.9430,2.8428,2.2222,3.1614,13.6769,2.7810,0.0000,2.9042,4.4283,2.7810,0.0000,3.2700,17.5837,3.0501,9.6772,3.2700,17.5837,2.9042,4.4283,2.9916,7.5732,2.8428,2.2222
51,2.7120,3.0009,10.6530,3.0904,13.9529,3.2073,18.2657,3.5900,32.3747,3.0744,13.3648,2.9057,7.1443,3.6588,34.9114,3.4492,27.1836,2.7120,-0.0000,2.9057,7.1443,3.2303,19.1120,3.2540,19.9862
52,2.7552,2.7552,0.0000,2.9147,5.7914,2.9147,5.7914,3.6064,30.8963,3.1265,13.4766,3.7084,34.5979,3.1235,13.3700,3.8056,38.1268,3.2794,19.0277,2.7552,0.0000,2.7552,0.0000,2.9147,5.7914
53,3.1756,3.1756,0.0000,3.9793,25.3117,3.5075,10.4526,3.5075,10.4526,3.1756,0.0000,3.5075,10.4526,4.1664,31.2010,3.5075,10.4526,3.1756,0.0000,3.8444,21.0612,3.5182,10.7912,3.1756,0.0000
54,2.3349,2.3349,0.0000,2.6489,13.4502,2.7555,18.0145,2.6489,13.4502,2.6971,15.5146,2.8360,21.4658,2.8241,20.9552,2.8253,21.0056,2.6054,11.5892,2.6382,12.9900,2.7365,17.2022,2.6489,13.4502
55,3.1523,3.3312,5.6778,3.2503,3.1113,4.0780,29.3690,3.3615,6.6392,4.1332,31.1188,3.3532,6.3742,3.2521,3.1669,4.2007,33.2607,3.1523,0.0000,3.3312,5.6778,3.2521,3.1669,3.1523,0.0000
56,3.3436,3.4448,3.0287,3.7307,11.5790,3.8069,13.8560,3.5978,7.6035,3.8758,15.9186,3.5959,7.5471,3.6664,9.6566,3.5869,7.2776,3.5978,7.6035,3.5978,7.6035,3.5721,6.8346,3.5978,7.6035
57,2.6563,2.7786,4.6053,2.9570,11.3215,3.0484,14.7601,2.9964,12.8051,3.0050,13.1296,2.6563,0.0000,3.0097,13.3056,2.6563,-0.0000,2.9570,11.3215,2.6563,-0.0000,2.9570,11.3215,2.9570,11.3215
58,3.8033,3.8449,1.0935,4.0485,6.4466,4.4388,16.7102,4.5903,20.6943,4.2723,12.3327,3.8537,1.3256,3.8339,0.8063,4.1024,7.8644,4.1883,10.1237,4.0094,5.4203,3.8537,1.3256,4.0802,7.2810
59,3.2120,3.2120,0.0000,3.5124,9.3531,3.2553,1.3507,3.2120,0.0000,3.6472,13.5492,3.2120,0.0000,3.5101,9.2819,3.8389,19.5188,3.8903,21.1182,3.5101,9.2819,3.6239,12.8253,3.2120,0.0000
60,2.3240,2.3753,2.2041,2.4609,5.8909,2.4924,7.2446,2.4951,7.3626,2.4924,7.2446,2.4609,5.8909,2.7240,17.2114,2.7729,19.3147,2.5549,9.9336,2.3861,2.6721,2.4729,6.4042,2.4609,5.8909
61,2.8357,2.8567,0.7393,3.5862,26.4658,3.3961,19.7635,3.5328,24.5828,3.4929,23.1753,3.0805,8.6343,3.3681,18.7760,3.0235,6.6240,3.5053,23.6131,3.1540,11.2249,3.1104,9.6861,3.9191,38.2079
62,2.9205,2.9205,0.0000,3.0254,3.5912,3.0910,5.8371,3.2044,9.7197,3.2921,12.7230,3.4797,19.1478,3.0254,3.5912,3.2223,10.3346,3.2223,10.3346,3.0254,3.5912,3.0254,3.5912,3.4877,19.4219
63,3.2544,3.3627,3.3299,4.2683,31.1548,4.2761,31.3951,3.2544,0.0000,3.2544,0.0000,3.6778,13.0097,3.5167,8.0602,3.5560,9.2690,3.4187,5.0488,3.2544,0.0000,4.2398,30.2803,3.2544,0.0000
64,2.9187,3.0555,4.6864,3.0576,4.7588,3.0458,4.3533,3.0316,3.8680,3.0392,4.1282,3.0392,4.1282,3.3907,16.1711,3.1141,6.6926,3.1141,6.6926,3.1598,8.2589,3.0316,3.8680,3.2802,12.3836
65,2.6757,2.7210,1.6922,3.0306,13.2642,3.0306,13.2642,3.0127,12.5933,3.0474,13.8917,2.9553,10.4486,3.1342,17.1335,3.3148,23.8857,3.0652,14.5560,2.9320,9.5790,3.0478,13.9063,3.2741,22.3643
66,2.8857,2.8857,0.0000,3.3774,17.0413,3.5282,22.2647,3.1925,10.6307,3.3930,17.5790,3.3930,17.5790,3.4008,17.8515,4.0063,38.8324,3.6630,26.9353,3.4462,19.4224,3.5282,22.2647,3.3801,17.1317
67,2.8213,3.0658,8.6674,3.1599,12.0018,2.8394,0.6405,3.1780,12.6423,3.0166,6.9218,3.1599,12.0018,3.0140,6.8313,3.0430,7.8578,3.3050,17.1431,3.1696,12.3459,2.8394,0.6405,2.9530,4.6671
68,3.3325,3.4657,3.9978,3.4131,2.4196,3.9771,19.3429,4.2296,26.9212,3.8530,15.6209,3.5310,5.9574,3.8551,15.6817,3.4587,3.7887,3.7074,11.2512,4.0362,21.1164,3.7074,11.2512,3.7459,12.4054
69,3.2409,3.2604,0.6024,3.3881,4.5417,3.4105,5.2329,3.7447,15.5461,3.3630,3.7678,3.6548,12.7722,3.2604,0.6024,3.5704,10.1678,3.6655,13.1030,3.7429,15.4912,3.3630,3.7678,3.4684,7.0208
70,2.5793,2.5793,0.0000,3.0151,16.8933,3.4569,34.0218,2.7827,7.8855,2.9791,15.4977,2.8042,8.7176,3.4729,34.6439,3.4819,34.9912,2.5888,0.3655,2.9128,12.9294,3.4217,32.6579,2.5888,0.3655
71,3.1817,3.1817,0.0000,3.4853,9.5418,3.1817,0.0000,3.3568,5.5050,3.4958,9.8727,3.5705,12.2212,3.4853,9.5418,3.1817,0.0000,3.1817,0.0000,3.3677,5.8463,3.8325,20.4568,4.3827,37.7489
72,2.9191,2.9191,0.0000,2.9191,0.0000,3.3557,14.9578,3.0230,3.5616,3.0230,3.5616,3.1388,7.5283,3.0727,5.2629,3.1766,8.8245,3.0727,5.2629,3.0727,5.2629,2.9541,1.2016,3.0727,5.2629
73,2.6152,2.7211,4.0488,2.8736,9.8794,2.9249,11.8399,2.8736,9.8794,3.1760,21.4447,2.8494,8.9558,2.8113,7.4979,2.8333,8.3374,2.8106,7.4704,2.8858,10.3468,3.0294,15.8366,3.0482,16.5550
74,2.5595,2.7515,7.5029,2.6857,4.9293,2.7410,7.0923,2.7623,7.9219,2.5730,0.5261,2.7680,8.1451,2.8424,11.0522,2.6732,4.4408,2.6732,4.4408,2.8055,9.6126,2.8055,9.6126,2.6983,5.4243
75,2.6241,2.6241,0.0000,2.6241,0.0000,2.6241,0.0000,2.6241,0.0000,2.6241,0.0000,2.6241,0.0000,2.6241,0.0000,2.6241,0.0000,2.7198,3.6475,2.6241,0.0000,2.6650,1.5591,2.6241,0.0000
76,3.4153,3.4992,2.4576,3.5599,4.2357,3.4153,0.0000,4.0502,18.5905,3.5599,4.2357,3.5599,4.2357,3.5599,4.2357,3.4153,0.0000,3.5351,3.5094,3.4153,-0.0000,3.5599,4.2357,3.4153,0.0000
77,3.1320,3.1817,1.5865,3.1364,0.1399,3.2804,4.7368,3.3073,5.5977,3.1364,0.1399,3.2475,3.6887,3.2390,3.4161,3.6085,15.2142,3.2804,4.7368,3.1364,0.1399,3.2247,2.9596,3.6519,16.5995
78,2.6051,2.6051,0.0000,2.9462,13.0926,2.9061,11.5546,2.8904,10.9492,2.9109,11.7370,3.5643,36.8178,2.8747,10.3467,2.9005,11.3380,2.9329,12.5831,3.0097,15.5306,3.5301,35.5045,2.7594,5.9232
79,2.8372,2.8372,-0.0000,3.1627,11.4723,2.8372,-0.0000,3.0692,8.1776,2.8372,0.0000,2.8372,0.0000,3.3645,18.5840,2.8372,-0.0000,2.9867,5.2682,2.8372,-0.0000,2.8372,-0.0000,3.0309,6.8273
80,2.4768,2.5494,2.9314,3.0653,23.7611,3.0534,23.2810,3.1036,25.3100,3.1886,28.7390,2.9245,18.0760,3.0534,23.2810,3.1036,25.3100,3.1681,27.9112,3.0838,24.5084,3.1752,28.2013,3.1053,25.3764
81,2.8511,3.1652,11.0156,3.0276,6.1876,2.9935,4.9919,3.3021,15.8152,3.1818,11.5987,3.0276,6.1876,2.9935,4.9919,3.2629,14.4437,3.0276,6.1876,3.3023,15.8231,2.9935,4.9919,3.2255,13.1292
82,3.2350,3.2509,0.4921,3.4147,5.5568,4.3085,33.1862,3.9700,22.7203,3.7902,17.1635,4.2657,31.8617,3.4735,7.3725,3.7902,17.1635,3.7977,17.3950,4.0687,25.7718,4.3573,34.6951,4.2708,32.0192
83,3.0506,3.1018,1.6807,3.3541,9.9517,3.2993,8.1553,3.2993,8.1553,3.8150,25.0588,3.5813,17.3979,3.3541,9.9517,3.3541,9.9517,3.0999,1.6193,3.2234,5.6651,3.3426,9.5734,3.6187,18.6236
84,2.6651,2.6651,0.0000,2.9510,10.7296,2.9510,10.7296,3.2815,23.1294,2.9510,10.7296,3.2788,23.0292,3.1895,19.6759,2.9694,11.4201,2.9694,11.4201,2.6653,0.0074,2.8775,7.9684,2.7017,1.3739
85,3.0121,3.0186,0.2150,3.2639,8.3597,3.8500,27.8170,3.6004,19.5315,3.2443,7.7090,3.8210,26.8557,3.9608,31.4954,3.1724,5.3223,3.6070,19.7524,3.2498,7.8931,3.0186,0.2150,3.4224,13.6222
86,2.7189,2.9665,9.1063,3.5457,30.4105,2.7189,0.0000,3.1174,14.6588,3.6645,34.7821,2.7189,-0.0000,3.3139,21.8851,3.5940,32.1893,3.1452,15.6821,2.7189,-0.0000,3.3171,22.0015,3.1449,15.6694
87,2.9964,3.1018,3.5184,3.3847,12.9573,3.6178,20.7384,3.6552,21.9856,3.5664,19.0230,3.4887,16.4283,3.4507,15.1599,3.2808,9.4896,3.3462,11.6724,3.2808,9.4896,3.3847,12.9573,2.9964,0.0000
88,3.0644,3.0644,0.0000,3.5483,15.7925,3.7405,22.0643,3.8443,25.4519,3.8438,25.4365,3.8790,26.5852,3.5391,15.4917,3.5525,15.9281,3.9283,28.1921,3.8912,26.9815,3.5391,15.4917,3.7861,23.5510
89,2.8410,2.8926,1.8157,2.8410,0.0000,3.0548,7.5273,3.1366,10.4055,2.8410,0.0000,3.0548,7.5273,3.0548,7.5273,3.0380,6.9345,3.0548,7.5273,3.7981,33.6892,3.0548,7.5273,3.1179,9.7483
90,2.5827,2.7449,6.2816,2.8690,11.0859,2.8123,8.8880,2.8690,11.0859,2.9878,15.6845,2.7871,7.9126,2.6589,2.9517,2.8878,11.8125,2.6589,2.9517,2.6589,2.9517,2.9923,15.8585,2.7351,5.9006
91,2.5286,2.8181,11.4492,3.7007,46.3532,2.8227,11.6310,2.8227,11.6310,2.8796,13.8826,3.1949,26.3491,3.0102,19.0449,3.3277,31.6016,3.1858,25.9925,2.9701,17.4601,2.8227,11.6310,3.0639,21.1697
92,3.7618,4.0081,6.5471,4.1605,10.5979,4.1629,10.6622,4.1304,9.8002,4.5585,21.1805,4.1304,9.8002,4.4018,17.0149,4.4154,17.3756,3.9586,5.2324,4.0163,6.7655,4.2353,12.5868,4.4223,17.5594
93,2.4933,2.4933,0.0000,2.4933,0.0000,2.9796,19.5036,2.4933,0.0000,2.6335,5.6231,3.1118,24.8058,3.0428,22.0369,2.8773,15.3994,2.6335,5.6231,2.6064,4.5354,3.0271,21.4087,2.7862,11.7481
