Run,Optimal Cost,N-Body Cost,N-Body Error,NN Run 1 Cost,NN Run 1 Error,NN Run 2 Cost,NN Run 2 Error,NN Run 3 Cost,NN Run 3 Error,NN Run 4 Cost,NN Run 4 Error,NN Run 5 Cost,NN Run 5 Error,NN Run 6 Cost,NN Run 6 Error,NN Run 7 Cost,NN Run 7 Error,NN Run 8 Cost,NN Run 8 Error
1,2.7871,3.1046,11.3925,2.9343,5.2831,3.2428,16.3513,3.3494,20.1755,3.0222,8.4374,3.0874,10.7760,3.0874,10.7760,3.0255,8.5557,3.0328,8.8176
2,1.8882,1.8882,0.0000,2.0442,8.2614,2.0491,8.5222,2.0442,8.2614,2.0442,8.2614,2.1027,11.3567,2.0415,8.1180,2.0415,8.1180,2.0442,8.2614
3,1.9634,1.9634,0.0000,2.2978,17.0322,2.1869,11.3863,2.3269,18.5158,2.3480,19.5921,2.3595,20.1757,2.0714,5.5006,2.3269,18.5158,2.1869,11.3863
4,2.4717,2.4717,0.0000,3.6216,46.5233,2.6627,7.7269,3.0456,23.2189,2.6088,5.5458,3.0619,23.8788,2.8777,16.4278,3.0508,23.4283,2.6088,5.5458
5,2.8369,2.8369,0.0000,3.1118,9.6898,2.9927,5.4937,3.4319,20.9748,2.8369,0.0000,3.1118,9.6898,2.8369,0.0000,3.0677,8.1377,3.0190,6.4219
6,2.3968,2.4154,0.7795,2.4154,0.7795,2.4154,0.7795,3.0165,25.8580,2.5706,7.2542,2.3968,0.0000,2.5476,6.2943,2.3968,0.0000,2.6973,12.5410
7,2.7438,2.9255,6.6220,3.0719,11.9574,3.0233,10.1879,3.3343,21.5234,3.0233,10.1879,2.8652,4.4239,3.0719,11.9574,3.2131,17.1054,2.8652,4.4239
8,2.7163,2.7163,0.0000,3.0070,10.7055,2.7163,0.0000,2.7163,0.0000,2.7163,0.0000,3.0070,10.7055,2.7163,0.0000,2.7163,0.0000,3.1401,15.6052
9,2.4518,2.4903,1.5721,2.6777,9.2158,2.7508,12.1949,2.6554,8.3070,2.7210,10.9818,2.6777,9.2158,2.8787,17.4140,2.7230,11.0634,2.7230,11.0634
10,2.8056,2.8056,-0.0000,2.8056,0.0000,2.8056,0.0000,3.1949,13.8765,2.8056,0.0000,2.8056,-0.0000,2.9984,6.8727,2.8056,0.0000,3.3905,20.8477
11,3.0206,3.0206,0.0000,3.0711,1.6741,3.0206,0.0000,3.2264,6.8133,3.2264,6.8133,3.0206,0.0000,3.1758,5.1393,3.0206,0.0000,3.0206,0.0000
