Run,Optimal Cost,N-Body Cost,N-Body Error,NN Run 1 Cost,NN Run 1 Error,NN Run 2 Cost,NN Run 2 Error,NN Run 3 Cost,NN Run 3 Error,NN Run 4 Cost,NN Run 4 Error,NN Run 5 Cost,NN Run 5 Error,NN Run 6 Cost,NN Run 6 Error,NN Run 7 Cost,NN Run 7 Error,NN Run 8 Cost,NN Run 8 Error,NN Run 9 Cost,NN Run 9 Error
1,3.2189,3.5012,8.7706,3.5274,9.5834,3.3720,4.7560,3.2189,0.0000,3.2189,0.0000,3.7209,15.5949,3.3720,4.7560,3.3610,4.4155,3.3610,4.4155,3.3504,4.0862
2,1.8952,2.0562,8.4907,2.0512,8.2308,2.0512,8.2308,2.0512,8.2308,2.0562,8.4907,2.0975,10.6736,2.0485,8.0880,2.1103,11.3447,2.0485,8.0880,2.0512,8.2308
3,2.3908,2.3908,0.0000,2.7760,16.1077,2.5306,5.8456,2.5306,5.8456,2.6826,12.2024,2.6034,8.8898,2.7684,15.7901,2.7975,17.0083,2.6034,8.8898,2.6750,11.8856
4,2.5785,2.5785,-0.0000,3.7591,45.7852,3.1278,21.2999,2.8636,11.0534,2.8096,8.9626,3.0786,19.3938,3.7284,44.5955,3.2516,26.1042,2.8096,8.9626,3.1524,22.2567
5,3.1617,3.2995,4.3572,3.2995,4.3572,3.4573,9.3484,3.4892,10.3581,3.6165,14.3838,3.2995,4.3572,3.8601,22.0880,3.5151,11.1759,3.6165,14.3838,3.3341,5.4508
6,2.5190,2.5682,1.9538,2.7234,8.1144,2.5682,1.9538,2.9419,16.7911,2.7003,7.2011,2.5682,1.9538,2.9244,16.0963,2.8501,13.1448,3.1692,25.8158,3.0279,20.2030
7,2.7526,2.8665,4.1390,3.0979,12.5448,3.0493,10.7809,3.2391,17.6763,3.0493,10.7809,3.0493,10.7809,2.8740,4.4097,3.0979,12.5448,2.8740,4.4097,3.2478,17.9927
8,2.7618,2.7618,0.0000,3.0526,10.5289,2.7618,0.0000,2.7618,0.0000,2.7618,0.0000,2.7618,0.0000,3.2027,15.9639,3.1516,14.1127,3.0526,10.5289,2.7618,0.0000
9,3.0499,3.2361,6.1045,3.3463,9.7196,3.0744,0.8039,3.1197,2.2892,3.2150,5.4141,3.2754,7.3943,3.2802,7.5507,3.2150,5.4141,3.1197,2.2892,3.0744,0.8039
10,3.0656,3.0656,0.0000,3.0656,0.0000,3.6505,19.0795,3.0656,0.0000,3.2584,6.2898,3.1730,3.5027,3.0656,0.0000,3.1730,3.5027,3.0656,0.0000,3.1730,3.5027
11,3.0363,3.0363,0.0000,3.1886,5.0183,3.2938,8.4810,3.2432,6.8156,3.2938,8.4810,3.1886,5.0183,3.1886,5.0183,3.1886,5.0183,3.4861,14.8149,3.2392,6.6837
12,3.1332,3.1332,0.0000,3.3318,6.3373,3.1332,0.0000,3.5763,14.1399,3.1720,1.2382,3.7317,19.1022,3.4121,8.9010,3.1332,0.0000,3.1720,1.2382,3.1332,0.0000
13,3.4577,3.8935,12.6038,3.7052,7.1583,3.5722,3.3124,3.8817,12.2627,3.5820,3.5935,3.5820,3.5935,3.6615,5.8943,3.6615,5.8940,3.6500,5.5607,3.9113,13.1182
14,3.1256,3.2433,3.7634,3.6781,17.6764,3.1258,0.0039,3.5562,13.7754,3.5562,13.7754,3.5334,13.0442,3.1258,0.0039,3.6340,16.2642,3.5332,13.0403,3.6756,17.5944
15,2.7719,2.8372,2.3554,3.1287,12.8706,3.1704,14.3758,3.6264,30.8269,3.2965,18.9272,2.9695,7.1281,3.2271,16.4217,2.9647,6.9558,3.2364,16.7570,2.9695,7.1281
16,2.7678,3.0070,8.6390,3.3396,20.6582,3.5747,29.1520,3.3930,22.5850,2.9009,4.8081,2.8333,2.3666,2.9009,4.8081,3.2529,17.5232,3.4266,23.8015,3.5234,27.2991
17,2.3820,2.3820,0.0000,2.4023,0.8507,2.4023,0.8507,2.7726,16.3966,2.4016,0.8212,2.7646,16.0602,2.3820,0.0000,2.5323,6.3073,2.4016,0.8212,2.4023,0.8507
18,3.2282,3.7496,16.1486,3.2282,0.0000,3.4811,7.8340,3.2282,0.0000,3.2282,0.0000,3.4743,7.6213,3.4811,7.8340,3.2282,0.0000,3.2282,0.0000,3.2282,0.0000
19,2.9442,2.9953,1.7363,3.0182,2.5140,3.1433,6.7647,3.1250,6.1417,3.0174,2.4877,2.9562,0.4069,2.9953,1.7363,2.9953,1.7363,3.1250,6.1417,3.1250,6.1417
20,2.6323,2.6323,0.0000,2.6781,1.7420,2.6323,-0.0000,2.6323,0.0000,2.7004,2.5880,3.0092,14.3182,3.0166,14.5992,2.8544,8.4375,2.6323,0.0000,3.0342,15.2664
21,2.7331,2.7331,0.0000,2.8744,5.1682,3.2673,19.5434,2.8727,5.1077,2.8020,2.5192,2.7331,0.0000,2.7852,1.9041,2.8020,2.5192,2.8744,5.1682,2.7331,0.0000
22,3.2440,3.3411,2.9936,3.3411,2.9936,3.6017,11.0268,3.6701,13.1362,3.3437,3.0742,3.4177,5.3550,3.5461,9.3128,3.6017,11.0268,3.4177,5.3550,3.3437,3.0742
23,2.8707,2.8707,0.0000,3.2732,14.0206,2.8707,0.0000,2.8707,0.0000,3.6339,26.5845,3.1093,8.3119,3.0744,7.0962,3.1262,8.9005,3.1093,8.3119,3.3021,15.0270
24,3.0482,3.1487,3.2961,3.0668,0.6089,3.1343,2.8231,3.4150,12.0324,3.2422,6.3639,3.0668,0.6089,3.3103,8.5976,3.3103,8.5976,3.2323,6.0374,3.2149,5.4673
25,2.8175,2.8416,0.8563,3.0619,8.6772,3.4330,21.8488,2.9723,5.4953,3.0619,8.6772,2.9723,5.4953,3.5353,25.4782,2.9747,5.5794,3.5273,25.1954,3.0619,8.6772
26,2.0099,2.0099,-0.0000,2.1719,8.0576,2.1766,8.2936,2.0099,0.0000,2.1955,9.2317,2.0099,0.0000,2.0099,-0.0000,2.1955,9.2317,2.1955,9.2317,2.1955,9.2317
27,2.6773,2.6811,0.1446,3.0721,14.7478,2.6811,0.1446,3.1473,17.5556,2.7964,4.4519,2.7964,4.4519,2.7964,4.4519,2.7075,1.1282,2.6811,0.1446,3.0770,14.9301
28,2.6889,2.6889,0.0000,2.6889,0.0000,2.8687,6.6852,2.6889,0.0000,2.9974,11.4719,3.0639,13.9461,2.7452,2.0932,2.9397,9.3264,2.9397,9.3264,3.0766,14.4167
29,3.0325,3.0654,1.0830,3.4213,12.8189,3.0325,0.0000,3.0837,1.6856,3.0849,1.7283,3.0849,1.7283,3.0849,1.7283,3.2234,6.2953,3.0654,1.0830,3.4673,14.3382
30,2.6243,2.7175,3.5503,2.7040,3.0366,2.7666,5.4223,2.6243,0.0000,2.6243,0.0000,2.8691,9.3275,2.6243,0.0000,2.6343,0.3785,2.7666,5.4223,2.8127,7.1760
31,2.7645,2.7645,0.0000,3.2979,19.2952,2.7645,0.0000,2.8989,4.8635,2.8989,4.8635,2.8989,4.8635,3.1006,12.1581,2.8989,4.8635,2.8652,3.6415,3.0610,10.7270
32,3.1909,3.1909,0.0000,3.1909,0.0000,4.3493,36.3048,3.5193,10.2924,3.5193,10.2924,3.5193,10.2924,3.5193,10.2924,3.5193,10.2924,3.8197,19.7086,3.6401,14.0789
33,2.9764,3.2814,10.2481,3.3560,12.7554,3.1260,5.0274,2.9764,0.0000,2.9764,0.0000,2.9764,0.0000,2.9764,0.0000,3.5475,19.1899,2.9764,0.0000,2.9764,0.0000
34,2.9400,3.3013,12.2889,3.2849,11.7317,3.2177,9.4453,3.1757,8.0166,2.9400,0.0000,3.1757,8.0166,3.2177,9.4453,2.9400,0.0000,3.1757,8.0166,3.1336,6.5854
35,2.5051,2.5051,-0.0000,2.5051,0.0000,2.8522,13.8550,2.5051,0.0000,2.9965,19.6176,3.4563,37.9738,2.5051,0.0000,2.5051,0.0000,2.5051,0.0000,2.9004,15.7820
36,2.7346,2.7346,0.0000,3.3762,23.4652,3.2359,18.3316,3.3571,22.7647,3.1687,15.8752,2.7643,1.0858,2.7643,1.0858,3.2574,19.1201,3.1687,15.8752,3.3762,23.4652
37,3.0268,3.0268,0.0000,3.0624,1.1741,3.0624,1.1741,3.3161,9.5559,3.4273,13.2293,3.4273,13.2293,3.3161,9.5559,3.4530,14.0805,3.5216,16.3456,3.4266,13.2068
38,2.5220,2.5220,0.0000,2.5750,2.1023,2.8596,13.3851,2.8640,13.5590,2.9007,15.0139,2.7137,7.6001,2.5750,2.1023,2.7137,7.6001,2.6412,4.7242,2.8640,13.5590
39,2.5042,2.5959,3.6605,2.7765,10.8735,2.7765,10.8735,2.7893,11.3856,2.8408,13.4417,2.6339,5.1783,2.6339,5.1783,2.8207,12.6383,2.7795,10.9934,2.9044,15.9809
40,2.1292,2.1888,2.7987,2.4326,14.2496,2.1292,0.0000,2.1292,0.0000,2.1292,0.0000,2.1292,0.0000,2.4438,14.7747,2.3227,9.0870,2.3227,9.0870,2.1398,0.4952
41,2.8813,2.8813,0.0000,2.9704,3.0905,2.9704,3.0905,3.6610,27.0602,3.5165,22.0427,2.8819,0.0187,3.3680,16.8898,3.3968,17.8886,3.1959,10.9163,3.1432,9.0896
42,2.5005,2.5005,0.0000,2.6202,4.7847,2.5005,0.0000,2.6107,4.4064,2.5005,0.0000,2.5295,1.1589,3.0739,22.9305,2.5005,0.0000,2.5295,1.1589,2.7078,8.2895
43,2.8665,2.8738,0.2544,3.2210,12.3672,3.3975,18.5252,3.4507,20.3831,2.9465,2.7916,3.0974,8.0555,3.0974,8.0555,2.9465,2.7916,3.4633,20.8210,3.1787,10.8911
44,2.6776,2.6776,0.0000,3.2661,21.9784,3.1620,18.0914,3.4068,27.2337,2.8603,6.8230,3.1058,15.9911,2.9231,9.1681,3.1058,15.9911,3.2661,21.9784,3.3837,26.3681
45,3.0657,3.0657,0.0000,3.5904,17.1143,3.7031,20.7926,3.1343,2.2377,3.1343,2.2377,4.0033,30.5843,3.1343,2.2377,3.3691,9.8971,3.7031,20.7926,3.1343,2.2377
46,2.6656,2.9915,12.2272,3.4207,28.3293,2.9120,9.2444,2.8918,8.4889,3.0379,13.9672,3.0308,13.7024,2.9816,11.8578,2.9120,9.2444,2.8918,8.4889,3.3205,24.5693
47,2.6822,2.6822,0.0000,3.1129,16.0571,2.8549,6.4391,2.7527,2.6306,2.8549,6.4391,2.8948,7.9268,2.8948,7.9268,3.0048,12.0269,2.9856,11.3126,2.8549,6.4391
48,2.8039,2.8083,0.1585,2.9666,5.8016,2.8669,2.2467,2.8366,1.1681,3.3060,17.9086,2.9634,5.6904,2.8366,1.1681,2.8366,1.1681,2.8039,0.0000,2.9405,4.8725
49,2.8008,2.8442,1.5510,3.2277,15.2445,3.4848,24.4229,3.2125,14.6992,3.0105,7.4884,3.0105,7.4884,3.1412,12.1542,3.2008,14.2835,3.1412,12.1542,2.8398,1.3931
50,2.7481,3.0441,10.7715,2.7481,0.0000,2.9677,7.9923,2.9677,7.9923,3.1316,13.9568,2.8345,3.1461,3.0587,11.3052,2.7481,0.0000,2.9677,7.9923,3.0659,11.5643
51,2.5028,2.5348,1.2761,2.6776,6.9823,2.5028,0.0000,2.7446,9.6587,2.6456,5.7062,2.6456,5.7062,2.8133,12.4074,2.6456,5.7062,2.5028,0.0000,2.6682,6.6074
52,2.4923,2.4947,0.0986,3.0190,21.1333,2.4947,0.0986,3.3334,33.7484,2.4923,0.0000,2.4923,0.0000,3.5527,42.5480,3.2314,29.6564,2.4923,0.0000,2.4923,0.0000
53,3.0292,3.0292,0.0000,3.2232,6.4037,3.2339,6.7586,3.5731,17.9543,3.1475,3.9046,3.0292,0.0000,3.2232,6.4037,3.0292,0.0000,3.5601,17.5248,3.2232,6.4037
54,2.2303,2.2752,2.0126,2.5444,14.0805,2.7208,21.9900,2.5444,14.0805,2.5444,14.0805,2.6509,18.8586,2.7315,22.4717,2.5009,12.1323,2.5336,13.5987,2.6320,18.0083
55,2.9630,3.0830,4.0500,2.9630,0.0000,3.0442,2.7408,3.8546,30.0935,2.9630,0.0000,3.7690,27.2047,3.0830,4.0500,2.9630,0.0000,3.0526,3.0271,2.9630,0.0000
56,3.1432,3.1739,0.9763,3.1432,-0.0000,3.5201,11.9918,3.5163,11.8684,4.0721,29.5533,3.1544,0.3549,3.3410,6.2943,3.3983,8.1148,3.1432,0.0000,3.9871,26.8471
57,2.4152,2.4152,0.0000,2.4152,-0.0000,2.7159,12.4515,2.7159,12.4515,2.7159,12.4515,2.8073,16.2333,2.7554,14.0833,2.7640,14.4401,2.7687,14.6337,2.4152,0.0000
58,3.0204,3.1595,4.6032,3.4219,13.2919,3.6364,20.3940,3.8603,27.8057,3.0553,1.1555,3.0553,1.1555,3.2718,8.3228,3.4416,13.9456,3.0291,0.2870,3.3577,11.1682
59,2.5547,2.5547,0.0000,2.8835,12.8708,2.6685,4.4551,2.5547,0.0000,3.2446,27.0064,3.1520,23.3817,3.0339,18.7588,2.9932,17.1658,2.9349,14.8817,2.5547,0.0000
60,2.2856,2.3368,2.2412,2.4073,5.3235,2.5882,13.2405,2.5372,11.0073,2.6096,14.1779,2.3185,1.4394,2.3560,3.0823,2.3477,2.7170,2.3185,1.4394,2.4344,6.5119
61,2.6165,2.6374,0.8012,2.6165,0.0000,2.6165,0.0000,2.7468,4.9799,3.1701,21.1584,2.7468,4.9799,3.1421,20.0882,3.2792,25.3306,2.6165,0.0000,2.6374,0.8012
62,2.6944,2.7524,2.1539,3.2148,19.3131,3.2068,19.0160,2.7524,2.1539,2.9314,8.7967,3.0191,12.0521,2.9494,9.4632,2.9494,9.4632,2.7524,2.1539,2.9494,9.4632
63,3.0375,3.0375,-0.0000,3.0731,1.1706,3.6982,21.7503,3.2374,6.5799,3.6697,20.8135,3.1803,4.6996,3.7707,24.1368,3.0731,1.1706,3.0731,1.1706,3.0731,1.1706
